	KO definition	gene name	counts
1639	mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	6
995	collagen type XIII alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1647	mitogen-activated protein kinase kinase kinase 1 [EC:2.7.11.25]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	6
994	collagen type XII alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1004	collagen type XXII alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
986	collagen type III alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1006	collagen type XXV alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
989	collagen type V/XI/XXIV/XXVII, alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1005	collagen type XXIII alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
990	collagen type VI alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1638	mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	6
1640	mitogen-activated protein kinase kinase 3 [EC:2.7.12.2]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	6
1434	intracellular protein transport protein USO1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	6
1815	nuclear mitotic apparatus protein 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_51256_length_1198_cov_554.492641_g9873_i1.p1']	6
1774	neuregulin 2	['NODE_15196_length_3397_cov_257.655337_g3682_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	6
2683	zonadhesin	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	6
1577	mannose-binding lectin	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_9182_length_4279_cov_219.650378_g2172_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
146	CaM kinase-like vesicle-associated [EC:2.7.11.-]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2', 'NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	6
1567	macrophage scavenger receptor 1	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
942	chromosome segregation protein	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	6
176	DNA repair protein SbcC/Rad50	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	6
1164	ectodysplasin-A	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1921	pikachurin	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_52587_length_1145_cov_187.568058_g15216_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	6
1283	gliomedin	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1292	glutathione transferase [EC:2.5.1.18]	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1302	golgin subfamily A member 4	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	6
2063	protein vein	['NODE_15196_length_3397_cov_257.655337_g3682_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	6
1024	complement C1q tumor necrosis factor-related protein 1/6/8	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
652	acetylcholinesterase collagenic tail peptide	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1001	collagen type XVIII alpha	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
116	CAP-Gly domain-containing linker protein 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	6
1022	complement C1q subcomponent subunit B	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1019	complement C1q and tumor necrosis factor-related protein 7	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
1107	delta	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	6
1859	otolin-1	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p1', 'NODE_5457_length_5280_cov_726.572656_g1281_i0.p5', 'NODE_6252_length_5011_cov_712.653986_g1467_i0.p1', 'NODE_33339_length_2018_cov_1002.840000_g8431_i2.p1', 'NODE_54812_length_1061_cov_16.372299_g16298_i0.p1', 'NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	6
702	agrin	['NODE_9182_length_4279_cov_219.650378_g2172_i0.p1', 'NODE_15196_length_3397_cov_257.655337_g3682_i0.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	6
309	HlyD family secretion protein	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	6
1077	cyclin-dependent kinase [EC:2.7.11.22]	['NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	6
178	DNA sulfur modification protein DndD	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
1493	laminin, gamma 3	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
2560	tuberous sclerosis 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
173	DNA repair protein RAD50 [EC:3.6.-.-]	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
1773	neuregulin 1	['NODE_9182_length_4279_cov_219.650378_g2172_i0.p1', 'NODE_15196_length_3397_cov_257.655337_g3682_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
766	basement membrane-specific heparan sulfate proteoglycan core protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
2148	ribosome-binding protein 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
2043	protein kinase C-binding protein NELL	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
1781	neurocan core protein	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
2151	rootletin	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
1764	nesprin-1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
787	brevican	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
1775	neuregulin 4	['NODE_9182_length_4279_cov_219.650378_g2172_i0.p1', 'NODE_15196_length_3397_cov_257.655337_g3682_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
800	cadherin EGF LAG seven-pass G-type receptor 3	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
951	cilia- and flagella-associated protein 57	['NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_36640_length_1843_cov_557.651111_g10_i8773.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
752	aurora kinase A [EC:2.7.11.1]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1', 'NODE_48493_length_1309_cov_283.065561_g13547_i0.p2']	5
1300	golgin subfamily A member 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
2422	structural maintenance of chromosome 4	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
2421	structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
2420	structural maintenance of chromosome 2	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
2419	structural maintenance of chromosome 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
1382	hyaluronan-mediated motility receptor	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
401	O-antigen chain-terminating bifunctional methyltransferase/kinase [EC:2.1.1.- 2.1.1.294 2.7.1.181]	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	5
405	Orthopoxvirus pro-vaccinia growth factor	['NODE_48268_length_1320_cov_237.943618_g4427_i2.p1', 'NODE_52587_length_1145_cov_187.568058_g15216_i0.p1', 'NODE_67412_length_665_cov_189.963023_g24313_i0.p1', 'NODE_69133_length_622_cov_289.794473_g25741_i0.p1', 'NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	5
2392	spindle assembly abnormal protein 6	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
1303	golgin subfamily B member 1	['NODE_3028_length_6503_cov_340.302322_g723_i0.p1', 'NODE_3028_length_6503_cov_340.302322_g723_i0.p2', 'NODE_22759_length_2692_cov_533.601359_g2390_i6.p1', 'NODE_28026_length_2330_cov_387.234368_g10_i7182.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	5
1153	dystrophia myotonica-protein kinase [EC:2.7.11.1]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1', 'NODE_35442_length_1905_cov_390.280344_g9155_i0.p1', 'NODE_39135_length_1724_cov_496.291493_g9155_i1.p1', 'NODE_44334_length_1487_cov_299.011080_g12045_i0.p1', 'NODE_45916_length_1419_cov_565.553052_g9155_i3.p1']	5
